sub,ses,task,run,median_value,filename
0050,02,alignvideo,3,57.6092529296875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,01,alignvideo,2,63.17293167114258,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-01_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,social,5,50.739479064941406,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,01,social,5,60.879180908203125,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-01_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,01,alignvideo,3,56.00883483886719,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-01_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,narratives,2,58.681026458740234,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-narratives_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,01,alignvideo,1,62.991207122802734,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-01_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,alignvideo,2,56.785037994384766,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,shortvideo,1,57.46260452270508,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-shortvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,alignvideo,2,50.74960708618164,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,alignvideo,1,69.86959075927734,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,narratives,3,60.2337760925293,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-narratives_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,social,3,59.753116607666016,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-social_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,narratives,1,65.54167175292969,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-narratives_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,fractional,2,56.21824645996094,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-fractional_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,social,1,57.11762237548828,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,faces,1,47.0140266418457,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-faces_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,alignvideo,3,49.202396392822266,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,01,social,4,50.59718322753906,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-01_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,social,4,55.422000885009766,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,social,6,59.96095657348633,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-social_acq-mb8_run-6_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,02,faces,2,62.388885498046875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-02_task-faces_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,04,social,2,62.1213264465332,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-04_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,alignvideo,1,47.409637451171875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,01,alignvideo,2,45.13716506958008,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-01_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,02,alignvideo,4,59.31717300415039,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-02_task-alignvideo_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0005,04,fractional,2,55.931270599365234,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0005/sub-0005_ses-04_task-fractional_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
