sub,task,fd_mean
1012388,rest,0.0786305
1012388,faces,0.0883641
1012420,rest,0.118536
1012420,faces,0.106035
1012466,rest,0.0642893
1012466,faces,0.085005
1012801,rest,0.134585
1012801,faces,0.132397
1012887,rest,0.0892243
1012887,faces,0.0962026
1012933,rest,0.0926838
1012933,faces,0.168246
1013212,rest,0.0757786
1013212,faces,0.0768852
1013387,rest,0.133185
1013387,faces,0.152065
1013438,rest,NA
1013438,faces,NA
1013463,rest,0.144923
1013463,faces,0.138556
1013532,rest,0.0543982
1013532,faces,0.0901341
1013548,rest,0.0734536
1013548,faces,0.0759455
1013716,rest,0.149713
1013716,faces,0.255792
1013729,rest,0.0610832
1013729,faces,0.108183
1014097,rest,0.0844606
1014097,faces,0.115049
1014275,rest,0.137324
1014275,faces,0.190601
1014304,rest,0.116974
1014304,faces,0.132948
1014350,rest,0.0543241
1014350,faces,0.0820917
1014398,rest,0.126048
1014398,faces,0.153352
1014520,rest,0.209291
1014520,faces,NA
1014645,rest,0.0967347
1014645,faces,0.139651
1014872,rest,0.0998719
1014872,faces,NA
1014927,rest,0.176032
1014927,faces,0.189756
1015060,rest,0.300623
1015060,faces,NA
1015129,rest,0.0728707
1015129,faces,NA
1015131,rest,0.454923
1015131,faces,0.277666
1015652,rest,0.073801
1015652,faces,0.0832327
1015691,rest,0.0802352
1015691,faces,0.124989
1015756,rest,0.100434
1015756,faces,0.102733
1015803,rest,0.0867837
1015803,faces,0.0757103
1015874,rest,0.157138
1015874,faces,0.177396
1015889,rest,0.192313
1015889,faces,0.196031
1015959,rest,0.0915783
1015959,faces,0.102901
1016118,rest,0.151464
1016118,faces,0.277448
1016192,rest,0.11368
1016192,faces,0.178828
1016312,rest,0.0859783
1016312,faces,NA
1016415,rest,0.126585
1016415,faces,0.342194
1016423,rest,NA
1016423,faces,NA
1016496,rest,0.11245
1016496,faces,0.119688
1016508,rest,0.0854249
1016508,faces,0.105719
1016562,rest,0.124063
1016562,faces,0.165745
1016571,rest,0.142087
1016571,faces,0.198169
1016613,rest,0.108084
1016613,faces,0.118334
1016625,rest,0.0577241
1016625,faces,0.0726222
1016736,rest,0.103375
1016736,faces,0.13629
1016767,rest,0.11684
1016767,faces,0.148028
1016846,rest,0.0957121
1016846,faces,0.103906
1017239,rest,0.115495
1017239,faces,0.162094
1017262,rest,NA
1017262,faces,NA
1017286,rest,NA
1017286,faces,NA
1017295,rest,NA
1017295,faces,NA
1017310,rest,NA
1017310,faces,NA
1017328,rest,0.105548
1017328,faces,0.138391
1017383,rest,0.114575
1017383,faces,NA
1017399,rest,0.0964679
1017399,faces,0.103085
1017630,rest,0.0996453
1017630,faces,0.120254
1017659,rest,0.0900679
1017659,faces,NA
1017664,rest,0.142516
1017664,faces,0.193071
1017779,rest,0.111746
1017779,faces,0.128859
1017831,rest,0.130499
1017831,faces,NA
1017847,rest,0.114288
1017847,faces,0.10846
1017909,rest,0.0949515
1017909,faces,0.139039
1018149,rest,0.125267
1018149,faces,0.265144
1018465,rest,0.119313
1018465,faces,0.0847702
1018596,rest,0.172377
1018596,faces,0.215261
1018655,rest,0.0973996
1018655,faces,0.140947
1018918,rest,0.0663486
1018918,faces,0.0705563
1018943,rest,0.0757808
1018943,faces,NA
1019187,rest,0.107685
1019187,faces,NA
1019332,rest,0.141016
1019332,faces,0.338164
1019445,rest,0.0738272
1019445,faces,NA
1019723,rest,0.0663436
1019723,faces,0.110511
1019871,rest,0.100147
1019871,faces,0.0961259
1020048,rest,0.103363
1020048,faces,0.138576
1020076,rest,0.117722
1020076,faces,0.236319
1020097,rest,0.0688729
1020097,faces,0.0763522
1020291,rest,0.0971753
1020291,faces,NA
1020331,rest,0.114999
1020331,faces,0.140316
1020382,rest,0.113508
1020382,faces,0.163184
1020611,rest,0.114176
1020611,faces,0.129868
1020645,rest,0.137339
1020645,faces,0.191874
1020690,rest,0.128713
1020690,faces,0.0914768
1020793,rest,0.140238
1020793,faces,0.1359
1020807,rest,0.114077
1020807,faces,0.0980621
1020856,rest,0.0751144
1020856,faces,0.221947
1020883,rest,0.172658
1020883,faces,0.236253
1020927,rest,0.0823581
1020927,faces,NA
1021129,rest,0.0972305
1021129,faces,NA
1021198,rest,0.101203
1021198,faces,0.0783152
1021297,rest,0.0890569
1021297,faces,0.082628
1021320,rest,0.0790761
1021320,faces,0.127414
1021384,rest,0.169186
1021384,faces,0.152057
1021471,rest,0.0886574
1021471,faces,0.0941698
1021495,rest,0.109203
1021495,faces,0.136762
1021521,rest,0.120536
1021521,faces,0.116342
1021549,rest,0.117046
1021549,faces,0.153218
1021691,rest,0.117412
1021691,faces,0.138557
1021710,rest,0.137176
1021710,faces,NA
1021845,rest,0.117468
1021845,faces,0.0951137
1021858,rest,0.0544821
1021858,faces,0.0705091
1022031,rest,0.0698007
1022031,faces,0.0828502
1022050,rest,0.11486
1022050,faces,0.20104
1022284,rest,0.162491
1022284,faces,0.189019
1022354,rest,0.168908
1022354,faces,0.193328
1022546,rest,0.260013
1022546,faces,0.229482
1022563,rest,0.225716
1022563,faces,0.215728
1022853,rest,0.0456386
1022853,faces,0.0582455
1022935,rest,0.117868
1022935,faces,0.209918
1023121,rest,0.127087
1023121,faces,0.129679
1023149,rest,0.0938093
1023149,faces,0.119162
1023194,rest,0.0701671
1023194,faces,0.0996505
1023244,rest,0.166559
1023244,faces,0.191817
1023502,rest,0.117564
1023502,faces,0.19129
1023655,rest,0.090278
1023655,faces,0.124805
1023897,rest,0.213231
1023897,faces,0.196137
1023937,rest,0.198973
1023937,faces,0.101661
1024002,rest,0.131062
1024002,faces,0.263781
1024023,rest,0.0715716
1024023,faces,NA
1024148,rest,NA
1024148,faces,NA
1024229,rest,NA
1024229,faces,NA
1024346,rest,0.0976157
1024346,faces,0.128258
1024352,rest,0.10028
1024352,faces,0.154046
1024363,rest,0.142228
1024363,faces,0.210003
1024428,rest,0.0725467
1024428,faces,NA
1024901,rest,0.102763
1024901,faces,0.147318
1025259,rest,0.0954307
1025259,faces,0.123567
1025296,rest,0.11427
1025296,faces,0.145191
1025311,rest,0.0868786
1025311,faces,0.0661347
1025322,rest,0.103052
1025322,faces,0.112578
1025336,rest,0.132075
1025336,faces,NA
1025374,rest,0.112904
1025374,faces,0.253925
1025390,rest,0.159928
1025390,faces,0.183448
1025629,rest,0.145274
1025629,faces,0.208834
1025749,rest,NA
1025749,faces,NA
1025820,rest,0.0844805
1025820,faces,0.09121
1025843,rest,0.121683
1025843,faces,0.181798
1025976,rest,0.241082
1025976,faces,0.222306
1026361,rest,0.0700115
1026361,faces,NA
1026534,rest,0.14798
1026534,faces,0.118824
1026593,rest,0.0912131
1026593,faces,0.176395
1026677,rest,NA
1026677,faces,NA
1026696,rest,0.102264
1026696,faces,0.168529
1026737,rest,0.143808
1026737,faces,0.176977
1026847,rest,0.081768
1026847,faces,0.131816
1026865,rest,0.0675402
1026865,faces,0.0712404
1026946,rest,0.0569315
1026946,faces,0.0849748
1026980,rest,0.164725
1026980,faces,0.180011
1027242,rest,0.118108
1027242,faces,0.163582
1027312,rest,0.117947
1027312,faces,0.143717
1027357,rest,0.0705395
1027357,faces,0.0933992
1027385,rest,0.137392
1027385,faces,0.186914
1027514,rest,0.0996893
1027514,faces,0.0967545
1027736,rest,0.15159
1027736,faces,0.20351
1027929,rest,0.0880769
1027929,faces,0.144854
1028092,rest,0.231928
1028092,faces,NA
1028144,rest,0.0686546
1028144,faces,0.10082
1028161,rest,0.0971174
1028161,faces,0.107796
1028569,rest,0.112091
1028569,faces,NA
1028765,rest,0.0761784
1028765,faces,0.064721
1028823,rest,0.108896
1028823,faces,0.127547
1028888,rest,0.090464
1028888,faces,0.104755
1028903,rest,0.194742
1028903,faces,0.194146
1028911,rest,0.14017
1028911,faces,0.155226
1028974,rest,0.0692619
1028974,faces,0.0756833
1029139,rest,0.185514
1029139,faces,0.194332
1029211,rest,0.0740806
1029211,faces,0.109632
1029341,rest,0.0825771
1029341,faces,0.109831
1029437,rest,0.111991
1029437,faces,0.187777
1029547,rest,0.128431
1029547,faces,0.119452
1029644,rest,0.147895
1029644,faces,NA
1029912,rest,0.134562
1029912,faces,NA
1030058,rest,0.299445
1030058,faces,0.173166
1030498,rest,0.0903451
1030498,faces,0.109662
1030564,rest,0.252136
1030564,faces,0.259904
1030678,rest,0.193699
1030678,faces,0.112548
1030687,rest,0.0752831
1030687,faces,0.0908061
1030717,rest,0.0830634
1030717,faces,0.101808
1030848,rest,0.0584176
1030848,faces,0.0794313
1031009,rest,0.109957
1031009,faces,0.133359
1031108,rest,0.0648233
1031108,faces,0.0917702
1031274,rest,0.0922406
1031274,faces,0.104748
1031479,rest,0.0671999
1031479,faces,0.104475
1031550,rest,0.0882024
1031550,faces,NA
1031628,rest,NA
1031628,faces,NA
1031661,rest,NA
1031661,faces,NA
1031672,rest,0.217706
1031672,faces,NA
1031700,rest,0.081382
1031700,faces,0.100578
1031725,rest,0.188105
1031725,faces,0.229964
1031748,rest,0.0681955
1031748,faces,0.117412
1031769,rest,0.0666324
1031769,faces,0.0698244
1031801,rest,0.129004
1031801,faces,0.219363
1031826,rest,0.0954676
1031826,faces,0.155043
1032124,rest,0.101803
1032124,faces,0.143038
1032138,rest,0.162307
1032138,faces,0.135957
1032163,rest,0.163522
1032163,faces,NA
1032311,rest,0.120884
1032311,faces,0.379933
1032556,rest,0.190661
1032556,faces,NA
1032733,rest,0.109728
1032733,faces,0.14737
1032770,rest,0.062801
1032770,faces,0.0965706
1032948,rest,0.0722309
1032948,faces,0.0773367
1033269,rest,0.210486
1033269,faces,0.235016
1033506,rest,0.205608
1033506,faces,0.319267
1033585,rest,0.391631
1033585,faces,0.290989
1033638,rest,0.160012
1033638,faces,0.158977
1033652,rest,0.0884225
1033652,faces,0.0872317
1033756,rest,NA
1033756,faces,NA
1033783,rest,0.107587
1033783,faces,0.132793
1033858,rest,0.0810972
1033858,faces,0.0971334
1033915,rest,0.0841884
1033915,faces,0.111336
1033988,rest,NA
1033988,faces,NA
1034286,rest,0.0690181
1034286,faces,0.0908062
1034432,rest,0.172492
1034432,faces,0.213999
1034578,rest,0.139775
1034578,faces,NA
1034804,rest,0.0677539
1034804,faces,0.0852179
1034847,rest,0.100068
1034847,faces,0.181238
1034873,rest,0.14589
1034873,faces,0.130977
1034882,rest,0.118924
1034882,faces,0.139006
1034952,rest,0.105413
1034952,faces,0.163479
1034980,rest,0.119329
1034980,faces,0.138721
1035018,rest,0.141558
1035018,faces,0.113383
1035268,rest,0.090993
1035268,faces,0.111378
1035378,rest,0.0840114
1035378,faces,0.103953
1035554,rest,0.123323
1035554,faces,0.179871
1035639,rest,0.125015
1035639,faces,0.180431
1035704,rest,0.092734
1035704,faces,0.0899394
1035815,rest,0.155284
1035815,faces,0.165155
1035864,rest,0.133511
1035864,faces,0.13074
1035888,rest,NA
1035888,faces,NA
1036073,rest,0.0879369
1036073,faces,0.134269
1036101,rest,0.105531
1036101,faces,0.199609
1036279,rest,0.12438
1036279,faces,0.13684
1036292,rest,0.0778825
1036292,faces,0.0959576
1036489,rest,NA
1036489,faces,NA
1036524,rest,0.0784768
1036524,faces,0.0796467
1036621,rest,0.101712
1036621,faces,0.168482
1036741,rest,0.201998
1036741,faces,0.329936
1036764,rest,0.0996999
1036764,faces,0.140641
1036796,rest,0.0957541
1036796,faces,0.125521
1036944,rest,0.128899
1036944,faces,0.141754
1037048,rest,0.148018
1037048,faces,0.124232
1037188,rest,0.0894446
1037188,faces,0.102108
1037224,rest,0.0888957
1037224,faces,0.118842
1037238,rest,0.0647418
1037238,faces,0.0943858
1037579,rest,0.0809397
1037579,faces,0.0943439
1037726,rest,0.278216
1037726,faces,0.285199
1037793,rest,0.0576949
1037793,faces,0.0587926
1037986,rest,0.290373
1037986,faces,NA
1037995,rest,0.0851098
1037995,faces,0.113632
1038023,rest,0.299709
1038023,faces,0.446599
1038041,rest,0.109709
1038041,faces,0.096694
1038064,rest,0.0860059
1038064,faces,0.101442
1038088,rest,0.108194
1038088,faces,0.118643
1038125,rest,0.0851473
1038125,faces,0.163912
1038309,rest,0.0616775
1038309,faces,0.0792623
1038375,rest,0.0751753
1038375,faces,0.119265
1038410,rest,0.0679963
1038410,faces,NA
1038503,rest,0.208702
1038503,faces,0.262405
1038558,rest,0.0751971
1038558,faces,0.091741
1038567,rest,0.101953
1038567,faces,0.165742
1038574,rest,0.103563
1038574,faces,0.114931
1038620,rest,0.0911113
1038620,faces,0.146316
1038643,rest,0.0681582
1038643,faces,0.104452
1038942,rest,NA
1038942,faces,NA
1038978,rest,0.0644945
1038978,faces,0.0782643
1039120,rest,0.48649
1039120,faces,NA
1039137,rest,0.118957
1039137,faces,0.147807
1039306,rest,0.169101
1039306,faces,NA
1039402,rest,0.0684347
1039402,faces,0.0927703
1039514,rest,0.088786
1039514,faces,0.179608
1039571,rest,0.104658
1039571,faces,0.157155
1039600,rest,0.0671358
1039600,faces,0.249538
1039648,rest,0.0863615
1039648,faces,0.072804
1039681,rest,0.0608455
1039681,faces,0.117063
1039722,rest,0.279966
1039722,faces,0.243858
1039758,rest,0.116177
1039758,faces,0.0923634
1040264,rest,0.117618
1040264,faces,0.127223
1040296,rest,0.149437
1040296,faces,0.167462
1040434,rest,0.125214
1040434,faces,0.113235
1040455,rest,0.142551
1040455,faces,0.174874
1040493,rest,0.160519
1040493,faces,0.172049
1040556,rest,0.14274
1040556,faces,0.12642
1040572,rest,0.252288
1040572,faces,0.266628
1040583,rest,0.175575
1040583,faces,0.119974
1040599,rest,0.0607036
1040599,faces,0.0638856
1040673,rest,0.105494
1040673,faces,0.132367
1040682,rest,NA
1040682,faces,NA
1040851,rest,0.130865
1040851,faces,0.0768593
1040866,rest,0.0810692
1040866,faces,0.0917922
1040879,rest,0.105231
1040879,faces,0.146334
1040884,rest,0.202514
1040884,faces,0.25903
1040892,rest,0.117495
1040892,faces,0.12923
1040997,rest,0.11679200000000001
1040997,faces,0.165487
1041068,rest,NA
1041068,faces,NA
