sub,task,fd_mean
1959064,faces,0.150401
1959148,rest,0.0979133
1959148,faces,0.0982142
1959229,rest,0.0948368
1959229,faces,0.098559
1959298,rest,0.109019
1959298,faces,0.173477
1959375,rest,0.181726
1959375,faces,0.193696
1959428,rest,0.104719
1959428,faces,0.0993904
1959435,rest,0.0788419
1959435,faces,0.10752
1959589,rest,0.0970369
1959589,faces,NA
1959620,rest,0.164586
1959620,faces,0.193619
1960016,rest,0.0988247
1960016,faces,0.166818
1960050,rest,0.209534
1960050,faces,0.269381
1960160,rest,NA
1960160,faces,NA
1960348,rest,0.115056
1960348,faces,0.500606
1960354,rest,0.061813
1960354,faces,0.0724953
1960369,rest,0.216827
1960369,faces,0.286905
1960474,rest,0.0785966
1960474,faces,0.0923381
1960961,rest,0.0772556
1960961,faces,0.101224
1960972,rest,NA
1960972,faces,NA
1961023,rest,0.199177
1961023,faces,0.220947
1961088,rest,0.18422
1961088,faces,NA
1961499,rest,0.125461
1961499,faces,0.164047
1961536,rest,0.201224
1961536,faces,0.175457
1961955,rest,0.237762
1961955,faces,NA
1961960,rest,0.0711234
1961960,faces,0.0784543
1962209,rest,0.0791264
1962209,faces,0.369228
1962224,rest,0.135774
1962224,faces,0.146904
1962246,rest,0.0625867
1962246,faces,0.0906034
1962291,rest,NA
1962291,faces,NA
1962331,rest,0.116626
1962331,faces,0.114025
1962449,rest,0.204263
1962449,faces,0.167459
1962505,rest,0.126057
1962505,faces,0.12457
1962537,rest,0.153248
1962537,faces,0.181359
1962543,rest,0.202477
1962543,faces,NA
1962551,rest,0.0874867
1962551,faces,0.0993497
1962611,rest,0.274716
1962611,faces,NA
1962658,rest,0.119635
1962658,faces,0.150166
1962701,rest,0.122267
1962701,faces,0.183484
1962908,rest,0.101794
1962908,faces,0.133224
1963174,rest,0.0830796
1963174,faces,0.108838
1963262,rest,0.12163
1963262,faces,0.12068
1963271,rest,NA
1963271,faces,NA
1963361,rest,0.0621766
1963361,faces,0.0976486
1963448,rest,0.0770915
1963448,faces,0.107723
1963705,rest,0.0854979
1963705,faces,0.144949
1963829,rest,0.0998844
1963829,faces,0.11942
1963847,rest,0.167939
1963847,faces,0.381293
1963882,rest,0.156151
1963882,faces,NA
1963909,rest,0.0538305
1963909,faces,NA
1963946,rest,0.0964831
1963946,faces,0.133452
1963952,rest,0.123869
1963952,faces,0.152943
1964019,rest,NA
1964019,faces,NA
1964034,rest,0.106375
1964034,faces,0.23019
1964078,rest,0.106175
1964078,faces,0.141222
1964093,rest,0.13153
1964093,faces,0.209171
1964104,rest,0.184425
1964104,faces,0.156387
1964198,rest,0.216256
1964198,faces,0.263603
1964269,rest,0.0659651
1964269,faces,0.103852
1964557,rest,NA
1964557,faces,NA
1964707,rest,0.127355
1964707,faces,0.162574
1964867,rest,0.0711033
1964867,faces,0.0773577
1964874,rest,0.111188
1964874,faces,0.129577
1964930,rest,0.0515736
1964930,faces,0.0536052
1964964,rest,0.144778
1964964,faces,0.154231
1965072,rest,0.139236
1965072,faces,0.19695
1965151,rest,0.179041
1965151,faces,0.169268
1965415,rest,0.123915
1965415,faces,0.147848
1965540,rest,0.102601
1965540,faces,NA
1965632,rest,0.0507624
1965632,faces,0.0923017
1965654,rest,0.26861
1965654,faces,0.362103
1965669,rest,0.0881236
1965669,faces,0.106992
1965758,rest,0.0858091
1965758,faces,0.136226
1965838,rest,0.0813479
1965838,faces,0.103097
1965880,rest,0.0978168
1965880,faces,0.130218
1966074,rest,0.100261
1966074,faces,0.126981
1966185,rest,0.129855
1966185,faces,NA
1966416,rest,0.106598
1966416,faces,0.111082
1966523,rest,0.104415
1966523,faces,0.14311
1966564,rest,0.121552
1966564,faces,0.140845
1966601,rest,0.0782711
1966601,faces,0.0690792
1966693,rest,0.175307
1966693,faces,0.182857
1966724,rest,0.0865449
1966724,faces,0.11362
1966832,rest,0.0707975
1966832,faces,0.111543
1966881,rest,0.123347
1966881,faces,0.132797
1966951,rest,0.107925
1966951,faces,0.0932488
1966979,rest,0.123076
1966979,faces,0.135262
1967071,rest,0.158383
1967071,faces,0.206781
1967163,rest,0.113149
1967163,faces,0.12545
1967264,rest,0.0984092
1967264,faces,NA
1967288,rest,0.0530119
1967288,faces,0.0629646
1967493,rest,0.0702935
1967493,faces,0.0933175
1967507,rest,0.109438
1967507,faces,0.123058
1967572,rest,0.119087
1967572,faces,0.14058
1967604,rest,0.28413
1967604,faces,0.245179
1967647,rest,0.127973
1967647,faces,0.130876
1967900,rest,0.0816766
1967900,faces,0.17376
1967954,rest,0.110007
1967954,faces,0.0910116
1967997,rest,0.150038
1967997,faces,0.177659
1968171,rest,0.0777703
1968171,faces,NA
1968245,rest,NA
1968245,faces,NA
1968492,rest,0.0906624
1968492,faces,0.162236
1968529,rest,0.163644
1968529,faces,0.181419
1968598,rest,0.0709268
1968598,faces,0.0855225
1968855,rest,0.0617834
1968855,faces,0.129537
1968878,rest,0.115248
1968878,faces,0.111207
1968887,rest,0.104534
1968887,faces,NA
1968933,rest,0.142244
1968933,faces,0.191843
1969051,rest,0.112762
1969051,faces,0.109136
1969084,rest,0.13034
1969084,faces,0.280519
1969301,rest,0.135223
1969301,faces,0.134888
1969409,rest,0.137821
1969409,faces,0.134854
1969463,rest,0.136221
1969463,faces,NA
1969525,rest,0.0825241
1969525,faces,0.333286
1969747,rest,0.111611
1969747,faces,0.155066
1969802,rest,0.123001
1969802,faces,0.133687
1969815,rest,0.0951337
1969815,faces,0.101052
1970114,rest,0.103075
1970114,faces,0.116902
1970186,rest,0.0770658
1970186,faces,0.0680757
1970222,rest,0.0832596
1970222,faces,0.112037
1970236,rest,0.200084
1970236,faces,0.250022
1970443,rest,0.0613538
1970443,faces,0.0711484
1970547,rest,0.150054
1970547,faces,0.161264
1970550,rest,0.0800255
1970550,faces,0.141431
1970582,rest,0.0521626
1970582,faces,0.0585071
1970656,rest,0.231088
1970656,faces,0.301102
1970957,rest,0.0944845
1970957,faces,0.0985991
1971000,rest,NA
1971000,faces,NA
1971025,rest,0.163409
1971025,faces,0.216203
1971032,rest,NA
1971032,faces,NA
1971054,rest,0.105182
1971054,faces,0.171337
1971141,rest,0.149873
1971141,faces,0.157635
1971209,rest,0.124894
1971209,faces,0.131651
1971304,rest,0.130991
1971304,faces,0.124356
1971494,rest,0.184862
1971494,faces,0.176927
1971755,rest,0.105043
1971755,faces,0.147955
1972059,rest,0.159387
1972059,faces,0.181067
1972088,rest,0.140373
1972088,faces,0.158334
1972231,rest,0.161276
1972231,faces,0.210537
1972338,rest,0.195327
1972338,faces,0.276894
1972375,rest,NA
1972375,faces,NA
1972536,rest,NA
1972536,faces,NA
1972567,rest,0.116258
1972567,faces,0.145771
1972692,rest,0.103812
1972692,faces,0.124844
1972714,rest,0.059749
1972714,faces,0.067313
1972762,rest,NA
1972762,faces,NA
1972795,rest,0.0827938
1972795,faces,0.172844
1972806,rest,0.0967036
1972806,faces,0.128753
1972857,rest,0.163959
1972857,faces,0.215104
1972901,rest,0.091683
1972901,faces,0.15116
1973061,rest,0.0887607
1973061,faces,0.151793
1973099,rest,0.290266
1973099,faces,0.248623
1973184,rest,0.181479
1973184,faces,0.180405
1973255,rest,0.0983386
1973255,faces,0.0964516
1973539,rest,0.082193
1973539,faces,0.0962528
1973880,rest,NA
1973880,faces,NA
1973929,rest,0.059552
1973929,faces,0.0771009
1973965,rest,0.149796
1973965,faces,0.195703
1973998,rest,0.0983119
1973998,faces,0.138843
1974095,rest,NA
1974095,faces,NA
1974180,rest,0.0770105
1974180,faces,0.097317
1974215,rest,0.0936821
1974215,faces,0.0981003
1974223,rest,0.0790634
1974223,faces,0.0945342
1974230,rest,0.0856403
1974230,faces,0.0851718
1974311,rest,0.066236
1974311,faces,0.0881674
1974322,rest,0.147024
1974322,faces,0.178012
1974442,rest,0.090995500000000007
1974442,faces,0.576007
1974528,rest,0.091384
1974528,faces,0.115577
1974682,rest,NA
1974682,faces,NA
1974925,rest,0.0914274
1974925,faces,0.125725
1974954,rest,0.187227
1974954,faces,0.360346
1974997,rest,0.122315
1974997,faces,0.133688
1975012,rest,0.0810782
1975012,faces,0.0999228
1975189,rest,0.139434
1975189,faces,0.135457
1975286,rest,0.151892
1975286,faces,0.186494
1975602,rest,0.0847574
1975602,faces,0.0783622
1975641,rest,0.108259
1975641,faces,0.111969
1975659,rest,NA
1975659,faces,NA
1975779,rest,0.0986968
1975779,faces,0.103348
1975804,rest,NA
1975804,faces,NA
1975917,rest,0.0877339
1975917,faces,0.0998264
1975924,rest,0.08654
1975924,faces,0.0958677
1975980,rest,0.067537
1975980,faces,0.0849782
1976128,rest,0.10417
1976128,faces,0.0970943
1976199,rest,0.106555
1976199,faces,0.122321
1976206,rest,0.0854949
1976206,faces,0.139063
1976257,rest,0.101947
1976257,faces,0.137428
1976446,rest,0.113311
1976446,faces,0.124349
1976463,rest,0.204308
1976463,faces,0.174024
1976608,rest,0.0476744
1976608,faces,0.0621693
1976653,rest,0.0709096
1976653,faces,NA
1976671,rest,0.134192
1976671,faces,0.131286
1976729,rest,0.0576588
1976729,faces,0.0883602
1976823,rest,0.164248
1976823,faces,0.197058
1976945,rest,0.15105
1976945,faces,0.207642
1976958,rest,0.106797
1976958,faces,0.113203
1977165,rest,0.116026
1977165,faces,0.122859
1977198,rest,0.183983
1977198,faces,0.194541
1977281,rest,0.135139
1977281,faces,0.12625
1977384,rest,0.0890243
1977384,faces,0.102077
1977440,rest,0.104475
1977440,faces,0.106781
1977495,rest,0.170732
1977495,faces,0.120794
1977585,rest,0.0794307
1977585,faces,0.103476
1977735,rest,0.0861287
1977735,faces,0.125492
1977964,rest,0.0818669
1977964,faces,0.129528
1978243,rest,0.191799
1978243,faces,0.277501
1978251,rest,0.0508225
1978251,faces,0.0896311
1978325,rest,0.451251
1978325,faces,0.47623
1978436,rest,0.223281
1978436,faces,NA
1978575,rest,0.130993
1978575,faces,0.11817
1978633,rest,0.0805199
1978633,faces,0.105187
1978668,rest,NA
1978668,faces,NA
1978741,rest,0.0508154
1978741,faces,0.0795967
1978814,rest,0.137612
1978814,faces,0.16055
1978907,rest,NA
1978907,faces,NA
1978928,rest,NA
1978928,faces,NA
1978935,rest,0.106207
1978935,faces,0.106807
1978961,rest,NA
1978961,faces,NA
1978999,rest,0.0945556
1978999,faces,0.103902
1979228,rest,0.133602
1979228,faces,0.11586
1979261,rest,0.211513
1979261,faces,0.191308
1979564,rest,0.111162
1979564,faces,0.130993
1979724,rest,0.0992358
1979724,faces,0.123389
1979848,rest,0.112242
1979848,faces,0.12779
1979918,rest,0.12905
1979918,faces,0.194666
1979920,rest,0.0781889
1979920,faces,0.0765676
1979951,rest,0.0577013
1979951,faces,0.0981649
1980007,rest,0.153818
1980007,faces,0.138475
1980035,rest,0.106514
1980035,faces,0.133249
1980099,rest,0.0847206
1980099,faces,0.101594
1980226,rest,0.0645084
1980226,faces,0.0639265
1980477,rest,0.192832
1980477,faces,NA
1980600,rest,0.0874882
1980600,faces,0.10081
1980648,rest,0.0895103
1980648,faces,0.0731613
1980676,rest,0.170002
1980676,faces,0.199415
1980809,rest,0.110834
1980809,faces,NA
1980852,rest,0.10214
1980852,faces,0.127176
1980863,rest,0.0682183
1980863,faces,0.160517
1980973,rest,0.242873
1980973,faces,0.247967
1981074,rest,0.114111
1981074,faces,NA
1981185,rest,NA
1981185,faces,NA
1981327,rest,0.0875504
1981327,faces,0.097005
1981339,rest,0.143793
1981339,faces,0.141867
1981362,rest,0.160394
1981362,faces,0.16894700000000001
1981371,rest,0.106459
1981371,faces,0.144142
1981523,rest,0.0700451
1981523,faces,0.0969149
1981601,rest,0.15027
1981601,faces,0.231453
1981693,rest,0.251286
1981693,faces,NA
1981724,rest,0.108978
1981724,faces,0.160835
1981738,rest,0.186106
1981738,faces,0.133815
1981869,rest,0.255928
1981869,faces,0.223303
1981876,rest,0.131442
1981876,faces,0.227385
1982103,rest,0.185745
1982103,faces,0.253173
1982454,rest,0.0557841
1982454,faces,0.0796081
1982476,rest,0.0481448
1982476,faces,0.0594753
1982481,rest,0.144396
1982481,faces,0.215664
1982501,rest,0.175024
1982501,faces,0.240209
1982526,rest,0.0577358
1982526,faces,0.113238
1982534,rest,0.087585
1982534,faces,0.182082
1982641,rest,0.150221
1982641,faces,0.153381
1982917,rest,0.252763
1982917,faces,0.190007
1982980,rest,0.0951982
1982980,faces,0.122084
1983263,rest,0.114097
1983263,faces,0.120489
1983350,rest,0.125242
1983350,faces,0.172123
1983398,rest,0.0824721
1983398,faces,0.0925378
1983726,rest,0.139233
1983726,faces,0.187416
1983760,rest,0.103695
1983760,faces,0.105925
1983962,rest,0.0461568
1983962,faces,0.0406172
1984043,rest,0.0807493
1984043,faces,0.362281
1984221,rest,NA
1984221,faces,NA
1984360,rest,0.208398
1984360,faces,0.176865
1984532,rest,0.212748
1984532,faces,0.224605
1984686,rest,0.146268
1984686,faces,0.194273
1984695,rest,0.13053
1984695,faces,0.169341
1984802,rest,0.123806
1984802,faces,0.132295
1984859,rest,0.168111
1984859,faces,0.222658
1984896,rest,0.15048
1984896,faces,0.176901
1984958,rest,NA
1984958,faces,NA
1985047,rest,0.111474
1985047,faces,0.157585
1985082,rest,0.160853
1985082,faces,NA
1985119,rest,0.125235
1985119,faces,0.110202
1985300,rest,0.106954
1985300,faces,0.103367
1985474,rest,0.130995
1985474,faces,0.175945
1985907,rest,NA
1985907,faces,NA
1985910,rest,0.0837391
1985910,faces,0.0941368
1986015,rest,0.162414
1986015,faces,0.209651
1986125,rest,0.0962576
1986125,faces,0.109356
1986375,rest,0.126078
1986375,faces,NA
1986428,rest,0.165725
1986428,faces,0.213869
1986545,rest,NA
1986545,faces,NA
1986618,rest,0.132177
1986618,faces,0.121557
1986643,rest,0.229004
1986643,faces,0.24405
1986692,rest,0.223723
1986692,faces,0.13656
1986868,rest,0.103107
1986868,faces,NA
1986894,rest,0.0781829
1986894,faces,0.0915185
1987046,rest,0.277181
1987046,faces,0.195921
1987063,rest,0.053314
1987063,faces,0.0724204
1987236,rest,0.156427
1987236,faces,0.197037
1987388,rest,0.150599
1987388,faces,0.163074
1987466,rest,0.184066
1987466,faces,0.157507
1987484,rest,NA
1987484,faces,NA
1988264,rest,0.119179
1988264,faces,0.201713
1988455,rest,0.126421
1988455,faces,0.194437
1988682,rest,0.208764
1988682,faces,0.284822
1988749,rest,0.101672
1988749,faces,0.145171
1988794,rest,0.0762305
1988794,faces,0.0873801
1988818,rest,0.0985536
1988818,faces,0.223205
1988843,rest,0.212384
1988843,faces,0.23089199999999999
1988851,rest,0.0775088
1988851,faces,0.102345
1989034,rest,0.154354
1989034,faces,0.321298
1989055,rest,0.0942764
1989055,faces,0.149965
1989248,rest,NA
1989248,faces,NA
1989408,rest,0.0939695
1989408,faces,0.0774718
1989570,rest,0.14482
1989570,faces,NA
1989756,rest,0.0816136
1989756,faces,0.0994829
1989772,rest,0.0774367
1989772,faces,NA
1990196,rest,0.175607
1990196,faces,0.222316
1990280,rest,0.135527
1990280,faces,NA
1990412,rest,0.299414
1990412,faces,0.311988
1990433,rest,0.19375
1990433,faces,0.280845
1990603,rest,0.0519444
1990603,faces,0.0748728
1990778,rest,0.14662
1990778,faces,0.142722
1990844,rest,0.0998621
1990844,faces,0.102875
1990899,rest,0.172012
1990899,faces,0.192004
1990908,rest,0.069442
1990908,faces,NA
1990995,rest,0.0940614
1990995,faces,0.134426
1991408,rest,0.142624
1991408,faces,0.153651
1991414,rest,0.1125
1991414,faces,0.136409
1991609,rest,0.0848219
1991609,faces,0.105751
1991799,rest,0.0386044
1991799,faces,0.0561163
1991811,rest,0.144551
1991811,faces,0.129427
1991836,rest,0.0650835
1991836,faces,0.204683
1992178,rest,0.103643
1992178,faces,NA
1992591,rest,0.379194
1992591,faces,0.188768
1992649,rest,0.115745
1992649,faces,0.136991
1992764,rest,0.0560562
1992764,faces,0.094122
1992827,rest,0.120274
1992827,faces,0.127628
1992862,rest,0.0823918
1992862,faces,0.0950891
1993106,rest,0.101082
1993106,faces,0.0898581
1993228,rest,0.0594527
1993228,faces,0.0759254
1993371,rest,NA
1993371,faces,NA
1993395,rest,0.0596269
1993395,faces,0.0574145
1993416,rest,NA
1993416,faces,NA
1993447,rest,0.0906068
1993447,faces,0.106036
1993465,rest,0.0922745
1993465,faces,0.105916
1993515,rest,NA
1993515,faces,NA
1993596,rest,0.124621
1993596,faces,0.158422
1993619,rest,0.277282
1993619,faces,0.24539
1993709,rest,0.108033
1993709,faces,0.123162
1993752,rest,0.123254
1993752,faces,0.136419
1993791,rest,0.131389
1993791,faces,0.142635
1993848,rest,0.0566614
1993848,faces,0.0727096
1994088,rest,0.0909859
1994088,faces,0.133294
1994309,rest,0.110192
1994309,faces,0.126634
1994472,rest,0.195581
1994472,faces,0.199651
1994558,rest,0.0869865
1994558,faces,0.1361
1994651,rest,0.0999258
1994651,faces,0.0960795
1994684,rest,0.054651
1994684,faces,NA
1994795,rest,0.0575891
1994795,faces,NA
1994812,rest,NA
1994812,faces,NA
1994833,rest,NA
1994833,faces,NA
1995163,rest,0.123019
1995163,faces,0.192514
1995434,rest,0.0825149
1995434,faces,0.0918925
1995478,rest,0.429323
1995478,faces,0.43868
1995556,rest,0.176612
1995556,faces,NA
1995721,rest,0.190345
1995721,faces,0.207113
1995757,rest,0.0975642
1995757,faces,0.13503
1995768,rest,0.105131
1995768,faces,0.132157
1995866,rest,0.198738
1995866,faces,0.189007
1995913,rest,0.159204
1995913,faces,NA
1995925,rest,0.116829
1995925,faces,NA
1996111,rest,0.153502
1996111,faces,0.146365
1996145,rest,0.097218
1996145,faces,0.118987
1996271,rest,0.0778791
1996271,faces,0.0905767
1996399,rest,0.0577536
1996399,faces,0.0820057
1996432,rest,0.103432
1996432,faces,0.120858
1996602,rest,0.0505722
1996602,faces,0.0520662
1996630,rest,0.140284
1996630,faces,0.186826
1996766,rest,0.0779242
1996766,faces,0.0581423
1996847,rest,0.0720641
1996847,faces,NA
1996975,rest,0.0679758
1996975,faces,0.0739268
1997072,rest,0.0947776
1997072,faces,0.154071
1997118,rest,0.141814
1997118,faces,NA
1997242,rest,0.129215
1997242,faces,0.118125
1997312,rest,0.083258
1997312,faces,0.131184
1997368,rest,0.083174
1997368,faces,0.179164
1997385,rest,NA
1997385,faces,NA
1997562,rest,0.189496
1997562,faces,0.205553
1997852,rest,0.104482
1997852,faces,0.130676
1998084,rest,0.0518644
1998084,faces,0.0991371
1998183,rest,0.110585
1998183,faces,0.161225
1998438,rest,0.0802477
1998438,faces,0.101599
1998452,rest,0.135954
1998452,faces,0.116636
1998475,rest,0.136302
1998475,faces,0.151917
1998548,rest,0.102849
1998548,faces,0.108225
1998627,rest,NA
1998627,faces,NA
1998662,rest,0.0742349
1998662,faces,0.0707642
1998729,rest,0.130223
1998729,faces,NA
1998877,rest,0.057901
1998877,faces,0.0952513
1998888,rest,0.197024
1998888,faces,0.161854
1998936,rest,0.157016
1998936,faces,NA
1998989,rest,0.105146
1998989,faces,0.143635
1999289,rest,NA
1999289,faces,NA
1999290,rest,0.144173
1999290,faces,0.0985946
1999388,rest,0.101001
1999388,faces,0.112587
1999396,rest,0.0995538
1999396,faces,0.115243
1999405,rest,0.0935043
1999405,faces,0.117646
1999466,rest,0.0995203
1999466,faces,0.173423
1999550,rest,0.076450099999999993
1999550,faces,0.104179
1999683,rest,0.23478
1999683,faces,0.283657
1999819,rest,0.119584
1999819,faces,0.118674
1999957,rest,0.0722833
1999957,faces,0.102244
2000012,rest,0.115337
2000012,faces,0.145069
2000094,rest,0.110676
2000094,faces,NA
2000122,rest,0.108117
2000122,faces,0.261867
2000136,rest,0.179331
2000136,faces,0.186263
2000174,rest,0.107666
2000174,faces,NA
2000271,rest,0.0888825
2000271,faces,0.112113
2000307,rest,0.107845
2000307,faces,0.198299
2000425,rest,0.0913283
2000425,faces,0.110933
2000534,rest,0.0747014
2000534,faces,NA
2000688,rest,0.130755
2000688,faces,0.112313
2000779,rest,0.0915677
2000779,faces,0.0926358
2000792,rest,0.157016
2000792,faces,0.15995500000000001
2000865,rest,0.0711712
2000865,faces,0.095124
2000946,rest,0.0755365
2000946,faces,NA
2000952,rest,0.233978
2000952,faces,0.186745
2000975,rest,0.148776
2000975,faces,0.19055
2000980,rest,0.148263
2000980,faces,0.18395
2001199,rest,0.110386
2001199,faces,0.148775
2001409,rest,0.119308
2001409,faces,0.126199
2001417,rest,0.136965
2001417,faces,NA
2001731,rest,0.352607
2001731,faces,0.314489
2002184,rest,0.18753
2002184,faces,0.170512
2002321,rest,0.129817
2002321,faces,0.148241
2002333,rest,0.243361
2002333,faces,NA
2002368,rest,0.0852068
2002368,faces,0.0768666
2002508,rest,0.0760741
2002508,faces,0.0813727
2002595,rest,0.102348
2002595,faces,0.145311
2002600,rest,0.0729832
2002600,faces,0.0795946
2002654,rest,0.11818
2002654,faces,0.0993942
2002824,rest,0.176095
2002824,faces,0.165057
2003041,rest,0.162083
2003041,faces,NA
2003197,rest,NA
2003197,faces,NA
2003265,rest,NA
2003265,faces,NA
2003666,rest,0.10038
2003666,faces,NA
2003692,rest,0.0673913
2003692,faces,0.117997
2003740,rest,0.114976
2003740,faces,0.11799
2003762,rest,0.0650256
2003762,faces,0.102844
2003926,rest,0.0860538
2003926,faces,0.0991534
2003955,rest,0.138059
2003955,faces,NA
2003978,rest,0.405851
2003978,faces,0.404154
2004003,rest,0.203507
2004003,faces,0.147572
2004011,rest,0.0811791
2004011,faces,0.144471
2004067,rest,NA
2004067,faces,NA
2004106,rest,0.107758
2004106,faces,0.0981528
2004404,rest,0.16445100000000001
2004404,faces,0.19655
2004465,rest,0.432651
2004465,faces,0.439365
2004482,rest,0.167118
2004482,faces,0.287273
2004530,rest,0.19749
2004530,faces,0.145965
2004642,rest,0.059151
2004642,faces,0.0882467
2004813,rest,0.100265
2004813,faces,0.0956695
2004854,rest,0.137639
2004854,faces,0.177722
2004897,rest,0.183285
2004897,faces,0.232104
2004920,rest,0.320751
2004920,faces,NA
2005274,rest,0.0736537
2005274,faces,0.121283
2005323,rest,0.119941
2005323,faces,0.151084
2005330,rest,0.101159
2005330,faces,0.15069
2005466,rest,NA
2005466,faces,NA
2005607,rest,0.0888685
2005607,faces,0.101848
2005656,rest,0.191965
2005656,faces,0.205016
2005985,rest,NA
2005985,faces,NA
2006032,rest,0.123711
2006032,faces,0.188165
2006081,rest,0.102095
2006081,faces,0.110116
2006123,rest,0.0799846
2006123,faces,NA
2006130,rest,0.0899367
2006130,faces,0.124987
2006196,rest,0.0931718
2006196,faces,NA
2006263,rest,0.0732158
2006263,faces,0.0740684
2006579,rest,0.141695
2006579,faces,0.147157
2006603,rest,0.0943553
2006603,faces,0.106527
2007047,rest,0.0553854
2007047,faces,0.0993383
2007119,rest,0.15868
2007119,faces,0.189282
2007134,rest,0.139819
2007134,faces,0.141348
2007474,rest,0.105356
2007474,faces,0.169027
2007552,rest,0.0810722
2007552,faces,0.117823
2007741,rest,0.160358
2007741,faces,0.123966
2007840,rest,0.0935905
2007840,faces,0.113419
2008019,rest,0.0750616
2008019,faces,0.0874407
2008318,rest,0.130173
2008318,faces,0.132784
2008439,rest,0.0967339
2008439,faces,0.113976
2008624,rest,0.0835252
2008624,faces,0.0799824
2008646,rest,0.16414
2008646,faces,0.170176
2008735,rest,0.107255
2008735,faces,0.0942758
2008756,rest,0.0936446
2008756,faces,0.107239
2008890,rest,0.240331
2008890,faces,0.347994
2008915,rest,NA
2008915,faces,NA
2008996,rest,0.0963355
2008996,faces,0.145129
2009040,rest,0.119693
2009040,faces,0.11571
2009175,rest,0.131632
2009175,faces,0.137423
2009303,rest,0.125809
2009303,faces,0.192236
2009367,rest,0.176091
2009367,faces,0.220674
2009460,rest,0.134462
2009460,faces,0.16725
2009478,rest,NA
2009478,faces,NA
2009544,rest,0.104467
2009544,faces,0.115254
2009749,rest,NA
2009749,faces,NA
2010065,rest,0.101426
2010065,faces,0.137211
2010101,rest,0.0864931
2010101,faces,0.0742184
2010142,rest,0.0970236
2010142,faces,0.105843
2010369,rest,0.0852219
2010369,faces,0.092872
2010808,rest,0.178665
2010808,faces,0.176465
2010999,rest,0.106049
2010999,faces,0.119777
2011077,rest,0.0715693
2011077,faces,0.0939719
2011088,rest,0.161463
2011088,faces,0.218064
2011100,rest,0.109109
2011100,faces,0.124153
2011113,rest,0.133391
2011113,faces,0.174751
2011391,rest,0.0991658
2011391,faces,0.115308
2011428,rest,0.210784
2011428,faces,0.203802
2011472,rest,0.197851
2011472,faces,0.227685
2011536,rest,0.0827325
2011536,faces,NA
2011620,rest,0.0999483
2011620,faces,NA
2011679,rest,NA
2011679,faces,NA
2011692,rest,NA
2011692,faces,NA
2011833,rest,NA
2011833,faces,NA
2012032,rest,0.115729
2012032,faces,0.125688
2012048,rest,0.141406
2012048,faces,0.145787
2012209,rest,0.113528
2012209,faces,0.129294
2012412,rest,0.121968
2012412,faces,0.139906
2012592,rest,0.0816848
2012592,faces,0.120042
2012636,rest,0.122547
2012636,faces,0.16118
2012645,rest,0.0915687
2012645,faces,0.123144
2012883,rest,0.122264
2012883,faces,0.149838
2012953,rest,0.122823
2012953,faces,0.133334
2013068,rest,0.106149
2013068,faces,0.171781
2013310,rest,0.101248
2013310,faces,NA
2013361,rest,0.341962
2013361,faces,NA
2013383,rest,0.184358
2013383,faces,NA
2013526,rest,0.0862833
2013526,faces,0.244752
2013602,rest,0.14088
2013602,faces,0.119223
2013696,rest,0.0739898
2013696,faces,0.126039
2013718,rest,0.324746
2013718,faces,0.395909
2013792,rest,0.0778922
2013792,faces,0.0794642
2013804,rest,0.0500066
2013804,faces,0.0846046
2013831,rest,0.0999722
2013831,faces,NA
2013924,rest,0.115824
2013924,faces,0.113646
2014131,rest,0.143788
2014131,faces,0.16216
2014337,rest,0.0886961
2014337,faces,0.0944325
2014408,rest,0.147471
2014408,faces,0.179701
2014427,rest,0.0934098
2014427,faces,0.120702
2014486,rest,0.0837445
2014486,faces,0.0784325
2014836,rest,0.0967414
2014836,faces,NA
2014941,rest,0.0845956
2014941,faces,0.245334
2014959,rest,0.0683859
2014959,faces,0.103871
2015028,rest,0.0669198
2015028,faces,0.082481
2015099,rest,0.121475
2015099,faces,0.121191
2015278,rest,NA
2015278,faces,NA
2015357,rest,0.0835112
2015357,faces,0.123358
2015423,rest,0.104438
2015423,faces,0.152458
2015430,rest,0.138092
2015430,faces,0.200907
2015553,rest,0.132982
2015553,faces,0.236534
2015586,rest,0.122751
2015586,faces,NA
2015595,rest,0.115356
2015595,faces,0.101888
2015600,rest,NA
2015600,faces,NA
2015676,rest,0.0943493
2015676,faces,NA
2015863,rest,0.0892505
2015863,faces,0.118048
2016207,rest,0.11577900000000001
2016207,faces,0.156825
2016353,rest,0.05814
2016353,faces,0.110649
2016564,rest,0.0959307
2016564,faces,0.112299
2016763,rest,0.0685203
2016763,faces,0.0931458
2016905,rest,0.118077
2016905,faces,0.124537
2016920,rest,0.136226
2016920,faces,0.151189
2017027,rest,0.115984
2017027,faces,NA
2017039,rest,0.0875626
2017039,faces,0.118966
2017040,rest,NA
2017040,faces,NA
2017053,rest,0.100931
2017053,faces,0.106281
2017146,rest,0.119912
2017146,faces,0.100088
2017215,rest,0.199284
2017215,faces,0.240642
2017345,rest,0.198437
2017345,faces,NA
2017374,rest,NA
2017374,faces,NA
2017401,rest,NA
2017401,faces,NA
2017478,rest,0.0935634
2017478,faces,0.151432
2017770,rest,0.16273
2017770,faces,0.15133
2018211,rest,0.116284
2018211,faces,0.121314
2018437,rest,0.106296
2018437,faces,0.106013
2018492,rest,0.163853
2018492,faces,NA
2018598,rest,0.0912561
2018598,faces,NA
2018700,rest,0.0655255
2018700,faces,0.0759825
