"sub","ses","run","fd_mean","dvars_mean","globalsignal_mean","task","task_factor"
"sub-0001","ses-01","run-01",0.110188280776493,36.5699099337687,3269.4362698098,"alignvideo","alignvideo"
"sub-0001","ses-01","run-02",0.112728294296165,32.9817474247467,3249.00768819602,"alignvideo","alignvideo"
"sub-0001","ses-01","run-03",0.120835378944039,32.8503856866995,3251.59530994881,"alignvideo","alignvideo"
"sub-0001","ses-01","run-04",0.109325637084027,36.532600422629,3250.37636048454,"alignvideo","alignvideo"
"sub-0001","ses-02","run-01",0.116240985827751,37.7007508133971,3222.3804587328,"alignvideo","alignvideo"
"sub-0001","ses-02","run-02",0.124010319011273,36.2574048117584,3190.41105207394,"alignvideo","alignvideo"
"sub-0001","ses-02","run-03",0.0885695694811795,36.0789763148309,3182.16387605173,"alignvideo","alignvideo"
"sub-0001","ses-02","run-04",0.0936245268663746,35.4705368422782,3174.8292039453,"alignvideo","alignvideo"
"sub-0001","ses-03","run-01",0.0897827657071057,34.6542558838822,3115.94045125916,"alignvideo","alignvideo"
"sub-0001","ses-03","run-02",0.181064678811889,34.7109537953348,3077.1932723814,"alignvideo","alignvideo"
"sub-0001","ses-03","run-03",0.113178398362774,34.8087881773585,3118.5425851234,"alignvideo","alignvideo"
"sub-0001","ses-04","run-01",0.140938408655336,38.7797060213439,3229.22874648203,"alignvideo","alignvideo"
"sub-0001","ses-04","run-02",0.126369573906889,35.1952261022605,3205.4281496878,"alignvideo","alignvideo"
"sub-0002","ses-01","run-01",0.134891488891791,31.8710682807836,3809.98360900102,"alignvideo","alignvideo"
"sub-0002","ses-01","run-02",0.14513736488,31.3632950356364,3844.21299704244,"alignvideo","alignvideo"
"sub-0002","ses-01","run-03",0.145259316321182,30.9820109004926,3832.15977197251,"alignvideo","alignvideo"
"sub-0002","ses-01","run-04",0.113524136760265,33.177818397351,3840.48017761447,"alignvideo","alignvideo"
"sub-0002","ses-02","run-01",0.423488463455847,37.3364539665871,3095.57765844096,"alignvideo","alignvideo"
"sub-0002","ses-02","run-02",0.146799765623251,34.5387867249731,3055.72251756802,"alignvideo","alignvideo"
"sub-0002","ses-02","run-03",0.135569371157649,35.8273854217805,3069.19279865297,"alignvideo","alignvideo"
"sub-0002","ses-02","run-04",0.130479895878423,35.8558618499452,3064.01693261598,"alignvideo","alignvideo"
"sub-0002","ses-03","run-01",0.121071275634948,30.6216200371972,3551.84506015325,"alignvideo","alignvideo"
"sub-0002","ses-03","run-02",0.185730035107196,31.1669559610195,3585.4005652839,"alignvideo","alignvideo"
