BIDS_string	case	scannotes	HJ_notes
sub-0021/ses-01/func/sub-0021_ses-01_task-social_acq-mb8_run-05_events.tsv	C3		"TEMP_beh exists, but under sub-0098. CHANGE ID. https://github.com/spatialtopology/d_beh/tree/master/sub-0021/task-social/ses-01"
sub-0023/ses-04/func/sub-0023_ses-04_task-social_acq-mb8_run-02_events.tsv	C1		TEMP_beh exists
sub-0024/ses-03/func/sub-0024_ses-03_task-social_acq-mb8_run-05_events.tsv	C1		TEMP_beh exists
sub-0038/ses-02/func/sub-0038_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C1		TEMP_beh exists
sub-0041/ses-02/func/sub-0041_ses-02_task-narratives_acq-mb8_run-01_events.tsv	C2		
sub-0041/ses-02/func/sub-0041_ses-02_task-narratives_acq-mb8_run-02_events.tsv	C2		
sub-0041/ses-02/func/sub-0041_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C2		
sub-0041/ses-02/func/sub-0041_ses-02_task-narratives_acq-mb8_run-04_events.tsv	C2		
sub-0064/ses-02/func/sub-0064_ses-02_task-narratives_acq-mb8_run-01_events.tsv	C2		
sub-0064/ses-02/func/sub-0064_ses-02_task-narratives_acq-mb8_run-02_events.tsv	C2		
sub-0064/ses-02/func/sub-0064_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C2		
sub-0064/ses-02/func/sub-0064_ses-02_task-narratives_acq-mb8_run-04_events.tsv	C2		
sub-0065/ses-04/func/sub-0065_ses-04_task-alignvideo_acq-mb8_run-02_events.tsv	C1		TEMP_beh
sub-0066/ses-04/func/sub-0066_ses-04_task-social_acq-mb8_run-06_events.tsv	C1		TEMP_beh
sub-0069/ses-02/func/sub-0069_ses-02_task-alignvideo_acq-mb8_run-04_events.tsv	C1		TEMP_beh
sub-0069/ses-02/func/sub-0069_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C1		participant had to discontinue run 3 because of issue with glasses. Partial data collected. TEMP_beh exists. 
sub-0075/ses-01/func/sub-0075_ses-01_task-social_acq-mb8_run-01_events.tsv	NEED TO RENAME FILE FIRST		
sub-0076/ses-02/func/sub-0076_ses-02_task-faces_acq-mb8_run-03_events.tsv	C1		TEMP_beh exists. Partial data
sub-0083/ses-04/func/sub-0083_ses-04_task-social_acq-mb8_run-02_events.tsv	C1		"TEMP_beh exists. The paradigm froze late into the run on one of the screens that shows other ratings. Not sure how many were missed, but it was under a minute when that happened."
sub-0084/ses-03/func/sub-0084_ses-03_task-alignvideo_acq-mb8_run-01_events.tsv	C1		TEMP_beh exists. For one trial. Still usable if just simply hyperaligning. 
sub-0087/ses-01/func/sub-0087_ses-01_task-alignvideo_acq-mb8_run-01_events.tsv	C1		TEMP_beh
sub-0088/ses-03/func/sub-0088_ses-03_task-social_acq-mb8_run-03_events.tsv	C1		TEMP_beh
sub-0089/ses-01/func/sub-0089_ses-01_task-social_acq-mb8_run-04_events.tsv	C1		TEMP_beh
sub-0094/ses-02/func/sub-0094_ses-02_task-narratives_acq-mb8_run-01_events.tsv	C2		Files exist. Why did it not convert?
sub-0094/ses-02/func/sub-0094_ses-02_task-narratives_acq-mb8_run-02_events.tsv	C2		Files exist. Why did it not convert?
sub-0094/ses-02/func/sub-0094_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C2		Files exist. Why did it not convert?
sub-0094/ses-02/func/sub-0094_ses-02_task-narratives_acq-mb8_run-04_events.tsv	C2		Files exist. Why did it not convert?
sub-0094/ses-04/func/sub-0094_ses-04_task-alignvideo_acq-mb8_run-01_events.tsv	C1		TEMP_beh exists
sub-0103/ses-02/func/sub-0103_ses-02_task-narratives_acq-mb8_run-01_events.tsv	C2		Files exist. Why did it not convert?
sub-0103/ses-02/func/sub-0103_ses-02_task-narratives_acq-mb8_run-02_events.tsv	C2		Files exist. Why did it not convert?
sub-0103/ses-02/func/sub-0103_ses-02_task-narratives_acq-mb8_run-03_events.tsv	C2		Files exist. Why did it not convert?
sub-0103/ses-02/func/sub-0103_ses-02_task-narratives_acq-mb8_run-04_events.tsv	C2		Files exist. Why did it not convert?
sub-0105/ses-02/func/sub-0105_ses-02_task-alignvideo_acq-mb8_run-02_events.tsv	C1		TEMP_beh exists. Convert. 
sub-0112/ses-04/func/sub-0112_ses-04_task-social_acq-mb8_run-03_events.tsv	C1		TEMP_beh exists. Convert. 
